Title,Author,Year,Any location source,Has abstract,Abstract
"El Colapso de la Afabilidad: corrupción, cansancio estructural y la retórica populista bajo la lupa de Han.",Silvia Mónica Martínez,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"Este trabajo propone un análisis original sobre la crisis de representación política en América Latina, cruzando la filosofía de la subjetividad de Byung-Chul Han con la economía política de la Teoría de la Dependencia (Ruy Mauro Marini). A través del concepto de la ""doble mochila"", la autora examina cómo el cansancio estructural de las economías periféricas se ensambla con la violencia neuronal del neoliberalismo digital. El artículo sostiene que el colapso de la afabilidad -entendida como la distancia necesaria para la deliberación democrática-permite que el marketing de la rabia transforme el agotamiento ciudadano en una herramienta de dominación psicopolítica. El texto concluye con una propuesta hacia una Ética del Cuidado como herramienta de resistencia y soberanía psíquica en la era del enjambre digital."
"Derecho de defensa y las investigaciones preliminares del delito de colusión, Fiscalía Especializada en Delitos de Corrupción, Huánuco, 2022 - 2023",Luigi Raúl Oyarce Follegati,2026,Repositorio Institucional Universidad de Huanuco,Has abstract,"El objetivo general de la presente tesis fue explicar la relación entre el derecho de defensa y las investigaciones preliminares por el delito de colusión, en la Fiscalía Especializada en delitos de corrupción de funcionarios de Huánuco, 2022 – 2023, el tipo de investigación fue aplicado, con enfoque cuantitativo y método deductivo; el nivel de la tesis fue descriptivo – explicativo, con un diseño correlacional, transversal y no experimental, se ha trabajado con una muestra de 07 carpetas fiscal en etapa de investigación, tramitadas entre el 2022 y 2023, por delito de colusión, de la Fiscalía Provincial Penal Corporativa Especializada en delitos de corrupción de funcionarios de Huánuco, además se contó con 06 fiscales de dicha dependencia, aplicando las técnicas del análisis de casos y la encuesta. Los resultados a los que se han arribado han permitido la contrastación de las hipótesis, logrando demostrar que existe una relación significativa entre el derecho de defensa y las investigaciones preliminares por delito de colusión, comprobando que el derecho al plazo razonable se relaciona significativamente con el plazo de la investigación preliminar, pues los plazos de investigación preliminar se han excedido del tiempo legal, siendo entre los dos a cuatro años, que se han declarado complejas las investigaciones sin que se presenten los prepuestos legales. También existe una relación significativa entre la imputación necesaria y las diligencias fiscales por el delito de colusión, demostrado que, a pesar de los plazos excesivos de las carpetas fiscales, el fiscal del caso no ha logrado delimitar ni concretar los hechos investigados a los investigados; además se ha comprobado que se garantiza el derecho a la defensa técnica y material de los investigados."
"El delito de corrupción de funcionarios y su relación con la emergencia sanitaria – covid 19 en el distrito de Huánuco, 2020 – 2021",Alex Wilson Quispe Cayra,2026,Repositorio Institucional Universidad de Huanuco,Has abstract,"La presente investigación “El delito de corrupción de funcionarios y su relación con la emergencia sanitaria – COVID 19 en el distrito de Huánuco, 2020 – 2021”, teniendo como objetivo general determinar la relación que existe entre el delito de corrupción de funcionarios y la emergencia sanitaria – COVID 19, en el distrito de Huánuco, 2020 – 2021. Se planteó la hipótesis general de que existe una relación significativa entre el delito de corrupción de funcionarios y el estado de emergencia por COVID-19 en el distrito de Huánuco durante 2020-2021, lo cual se comprobó utilizando diversas herramientas e instrumentos de investigación, como se detalla en este estudio. La investigación es de tipo básica, con un enfoque cuantitativo y un alcance descriptivo-correlacional. La población total fue de 3876 abogados, y se trabajó con una muestra de 20 abogados colegiados, utilizando un cuestionario como instrumento de recolección de datos."
"La malversación como forma de corrupción. Una contribución a la interpretación del tipo, el bien jurídico y la codelincuencia",Deisy Janeth Barrientos Pérez,2026,|Buleria (Universidad de León),Has abstract,545 p.
Fortalecimiento de la transparencia en lo público y lucha contra la corrupción : evolución de los mecanismos anticorrupción en chile,Francisco Javier Sanz Salguero,2026,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",Has abstract,"CONGRESSO INTERNACIONAL DA RED IBEROAMERICANA DE ESTUDIOS JURÍDICOS 1812, 6, Lisboa, 2026. A defesa do Estado de Direito no século XXI: Actas do 6.º Congresso Internacional da Red Iberoamericana de Estudios Jurídicos 1812. Afonso d’Oliveira MARTINS (dir.). Lisboa: Universidade Lusíada Editora. ISBN 978-989-302-7."
"Patrimonio del agua, poder y corrupción en Antequera (España). El Convenio de Aguas del río de la Villa de 1854",Mercedes Fernández Paradas|Carlos Larrinaga Rodríguez|José Joaquín Luque García,2026,Dialnet (Universidad de la Rioja),Has abstract,
.Análisis de riesgo de captura de estado y corrupción sistémica en las entidades federativas con mayores recursos públicos de México para el ejercicio fiscal 2023,Óscar Flores Viveros,2026,Universita Ciencia,Has abstract,"En el ámbito de la fiscalización de nuestro país, en los últimos años se le han transferido buenas cantidades de recursos económicos a los gobiernos estatales con el objetivo de fortalecer las capacidades institucionales y mejorar la provisión de los servicios gubernamentales. Sin embargo, este artículo presenta evidencia estadística que sugiere una asociación positiva entre los gobiernos estatales con mayores asignaciones presupuestales, los indicadores de captura del Estado y corrupción sistémica. La investigación explora indicadores de corrupción como percepción y prevalencia, ambos obtenidos de la Encuesta Nacional de Calidad e Impacto Gubernamental (INEGI, 2023). Así como datos obtenidos de los congresos locales sobre el presupuesto aprobado para el mismo año de ejercicio (2023). Este estudio sostiene la siguiente hipótesis: los estados que manejan mayores recursos económicos, son propicios para que un sistema de redes de corrupción coopten, capturen los estados y las instituciones de las entidades federativas."
.Análisis de riesgo de captura de estado y corrupción sistémica en las entidades federativas con mayores recursos públicos de México para el ejercicio fiscal 2023,Óscar Flores Viveros,2026,Universita Ciencia,Has abstract,"En el ámbito de la fiscalización de nuestro país, en los últimos años se le han transferido buenas cantidades de recursos económicos a los gobiernos estatales con el objetivo de fortalecer las capacidades institucionales y mejorar la provisión de los servicios gubernamentales. Sin embargo, este artículo presenta evidencia estadística que sugiere una asociación positiva entre los gobiernos estatales con mayores asignaciones presupuestales, los indicadores de captura del Estado y corrupción sistémica. La investigación explora indicadores de corrupción como percepción y prevalencia, ambos obtenidos de la Encuesta Nacional de Calidad e Impacto Gubernamental (INEGI, 2023). Así como datos obtenidos de los congresos locales sobre el presupuesto aprobado para el mismo año de ejercicio (2023). Este estudio sostiene la siguiente hipótesis: los estados que manejan mayores recursos económicos, son propicios para que un sistema de redes de corrupción coopten, capturen los estados y las instituciones de las entidades federativas."
"Elementos de análisis y reflexión sobre el fenómeno de la corrupción asociada al crimen organizado transnacional: especial atención a América Latina y Colombia. Tomo V: Elementos relativos a las perspectivas criminológicas sobre la corrupción como un fenómeno de acción colectiva, con énfasis en los estudios de caso sobre las experiencias en la región amazónica y Colombia",Filipe Antunes Madeira da Silva|Gianella Bardazano|Claudia Cristina Barrilari|Ignacio Berdugo Gómez de la Torre|Andrés Felipe Canizo Ramírez|Adriana Corena Simancas|Graciela Victoria Curiel Olarte|Ana Flavia De Azevedo Pereira|Gustavo De Carvalho Marin|Flávia do Amaral Vieira|María Eugenia Bravo|Cesar Ferrari|Laura Melissa Flórez Castilla|Pablo Galain Palermo|Jorge Doménico Gallo Olivares|Germán Carlos Garavano|Daniel Alejandro Garavito Góez|Lena Camila Gómez León|Cristian Camilo Guzmán Pardo|Carlos Hernández Vásquez|Lucía Giudice|Júlia Leal da Silva|Mariana Molina Flórez|Camilo Noble|Héctor Olasolo|Zulia Yanzadig Orozco Reynoso|João Victor Palermo Gianecchini|Vania Pérez Morales|Carol Proner|Juan José Romero Morales|Eduardo Saad Diniz|Henry Salgado Ruíz|Vanessa Suelt Cock|Laura Vacca Moyano|David Fernando Varela,2026,Repositorio Institucional E-DocUR (Universidad Del Rosario),Has abstract,"Este tomo V analiza la corrupción como un fenómeno de acción colectiva y estructural en América Latina. Explora el ""capitalismo de compadres"", la ineficacia de las normas jurídicas y la relación entre corrupción y narcotráfico a través de estudios de caso en Colombia y la Amazonía. Propone un enfoque interdisciplinar que supere la visión tradicional de la corrupción como simple conducta individual desviada."
"Patrimonio del agua, poder y corrupción en Antequera (España). El Convenio de Aguas del río de la Villa de 1854",Mercedes Fernández-Paradas|Carlos Larrinaga|José Joaquín Luque García,2026,Agua y Territorio / Water and Landscape|Institutional Repository of the University of Granada (University of Granada),Has abstract,"In Antequera, in 1833, a textile industry emerged without guild control. Especially since that year, the development of this and other industries thanks to the Villa River, whose water emanates from a spring in the Sierra del Torcal, intensified water needs, and thus, conflicts over its supply. This article analyzes the 1854 Villa River Waters Convention, the only one approved for that municipality by the Antequera city council and the provincial government of Málaga in the 19th century, in force at least until 1924. We intend to answer the following questions: who signed it and why was it signed on July 4, 1854? And how did it affect the distribution of water, was it fair, was there corruption?. The research is based on unpublished documentation from the Municipal Historical Archive of Antequera."
"Comunicación estratégica y prevención de la corrupción local en Chile, México y Perú (2018–2025): una mirada histórica desde el compliance y el comportamiento social",Paola Lilí Galvez-Montoya|Felipa Elvira Muñoz Ccuro,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"La corrupción local en América Latina (2018–2025) constituye un fenómeno jurídico y administrativo que afecta la legitimidad institucional y la confianza ciudadana. Este estudio analiza la integración de la comunicación estratégica con el compliance y el comportamiento social como mecanismos preventivos en la gestión pública. La investigación se sustenta en una metodología cualitativa y comparativa, basada en revisión documental y análisis normativo, con experiencias verificables en Chile, México y Perú, y referencias a Filipinas e Indonesia. Los resultados evidencian avances en ética pública, participación ciudadana y fortalecimiento de mecanismos de fiscalización, aunque persisten limitaciones derivadas de la insuficiencia de recursos, la burocracia y la falta de obligatoriedad legal en ciertos marcos normativos. Se concluye que la comunicación, concebida como práctica cultural y ética, constituye un instrumento para articular normas y valores sociales, prevenir actos de corrupción y consolidar la confianza democrática en la gestión pública."
"Comunicación estratégica y prevención de la corrupción local en Chile, México y Perú (2018–2025): una mirada histórica desde el compliance y el comportamiento social",Paola Lilí Galvez-Montoya|Felipa Elvira Muñoz Ccuro,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"La corrupción local en América Latina (2018–2025) constituye un fenómeno jurídico y administrativo que afecta la legitimidad institucional y la confianza ciudadana. Este estudio analiza la integración de la comunicación estratégica con el compliance y el comportamiento social como mecanismos preventivos en la gestión pública. La investigación se sustenta en una metodología cualitativa y comparativa, basada en revisión documental y análisis normativo, con experiencias verificables en Chile, México y Perú, y referencias a Filipinas e Indonesia. Los resultados evidencian avances en ética pública, participación ciudadana y fortalecimiento de mecanismos de fiscalización, aunque persisten limitaciones derivadas de la insuficiencia de recursos, la burocracia y la falta de obligatoriedad legal en ciertos marcos normativos. Se concluye que la comunicación, concebida como práctica cultural y ética, constituye un instrumento para articular normas y valores sociales, prevenir actos de corrupción y consolidar la confianza democrática en la gestión pública."
"Comunicación estratégica y prevención de la corrupción local en Chile, México y Perú (2018–2025): una mirada histórica desde el compliance y el comportamiento social",Paola Lilí Galvez-Montoya|Felipa Elvira Muñoz Ccuro,2026,DOAJ (DOAJ: Directory of Open Access Journals)|Zenodo (CERN European Organization for Nuclear Research),Has abstract,"La corrupción local en América Latina (2018–2025) constituye un fenómeno jurídico y administrativo que afecta la legitimidad institucional y la confianza ciudadana. Este estudio analiza la integración de la comunicación estratégica con el compliance y el comportamiento social como mecanismos preventivos en la gestión pública. La investigación se sustenta en una metodología cualitativa y comparativa, basada en revisión documental y análisis normativo, con experiencias verificables en Chile, México y Perú, y referencias a Filipinas e Indonesia. Los resultados evidencian avances en ética pública, participación ciudadana y fortalecimiento de mecanismos de fiscalización, aunque persisten limitaciones derivadas de la insuficiencia de recursos, la burocracia y la falta de obligatoriedad legal en ciertos marcos normativos. Se concluye que la comunicación, concebida como práctica cultural y ética, constituye un instrumento para articular normas y valores sociales, prevenir actos de corrupción y consolidar la confianza democrática en la gestión pública."
"Comunicación estratégica y prevención de la corrupción local en Chile, México y Perú (2018–2025): una mirada histórica desde el compliance y el comportamiento social",Paola Lilí Galvez-Montoya|Felipa Elvira Muñoz Ccuro,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"La corrupción local en América Latina (2018–2025) constituye un fenómeno jurídico y administrativo que afecta la legitimidad institucional y la confianza ciudadana. Este estudio analiza la integración de la comunicación estratégica con el compliance y el comportamiento social como mecanismos preventivos en la gestión pública. La investigación se sustenta en una metodología cualitativa y comparativa, basada en revisión documental y análisis normativo, con experiencias verificables en Chile, México y Perú, y referencias a Filipinas e Indonesia. Los resultados evidencian avances en ética pública, participación ciudadana y fortalecimiento de mecanismos de fiscalización, aunque persisten limitaciones derivadas de la insuficiencia de recursos, la burocracia y la falta de obligatoriedad legal en ciertos marcos normativos. Se concluye que la comunicación, concebida como práctica cultural y ética, constituye un instrumento para articular normas y valores sociales, prevenir actos de corrupción y consolidar la confianza democrática en la gestión pública."
SELECTIVIDAD PENAL Y CORRUPCIÓN PÚBLICA: EL DERECHO PENAL DE LA PLUTOFILIA Y LA EVIDENCIA EMPÍRICA SOBRE MALVERSACIÓN EN ESPAÑA (REVISIÓN SISTEMÁTICA EXPLORATORIA),Marcos Chaves Carou,2026,Revista de Derecho Penal y Criminología|Hispana|Gredos (University of Salamanca),Has abstract,"En este trabajo se sistematiza la noción de Derecho penal de la plutofilia, propuesta por la doctrina, como hipótesis de tratamiento diferencial hacia sujetos con poder económico, político o institucional, y se ancla en marcos criminológicos sobre selectividad penal. Mediante una revisión sistemática exploratoria, se cartografía la evidencia empírica sobre malversación en España. Los resultados muestran un estado del arte limitado y heterogéneo, con escasez de estudios empíricos basados en sentencias y predominio de enfoques doctrinales. En el artículo se propone un marco para futuras aproximaciones empírico-jurisprudenciales a este delito desde una perspectiva plutofílica."
"La construcción discursiva de la corrupción en México: análisis comparativo del discurso gubernamental y su impacto en las políticas anticorrupción, 2000-2024",José Santos Zavala,2026,Dialnet (Universidad de la Rioja),Has abstract,"This article analyzes the evolution of the concept of corruption in Mexican governmental discourse across five presidential administrations (2000–2024), with the aim of identifying changes in the interpretative frameworks that guided the design of anti-corruption policies. The research adopted a qualitative–comparative approach based on argumentative discourse analysis, applied to the statements made by the head of the executive branch. The study examines the conceptual transformations of the phenomenon, from interpretations centered on individual behavior to systemic, institutional, and preventive approaches..."
"El retraso en la emisión de informes periciales y su influencia en la investigación preparatoria en la fiscalía especializada en delitos de corrupción de funcionarios de Huánuco, 2022",Wenceslao Anthony Alcedo Alvarado,2026,Repositorio Institucional Universidad de Huanuco,Has abstract,"El presente estudio titulado: El retraso en la emisión de informes periciales y su incidencia en la investigación preparatoria en la Fiscalía Especializada en Delitos de Corrupción de Funcionarios de Huánuco, 2022, tuvo como objetivo principal identificar cómo el retraso en la emisión de informes periciales afecta el desarrollo de la investigación preparatoria en dicha fiscalía. La investigación fue de tipo aplicada, con enfoque cualitativo, nivel descriptivo-explicativo y diseño no experimental. La muestra estuvo conformada por 10 carpetas fiscales y 5 fiscales de la Fiscalía Especializada en Delitos de Corrupción de Funcionarios de Huánuco. Los resultados evidenciaron que las demoras en la emisión de informes periciales afectan el desarrollo oportuno de las diligencias fiscales, limitan la continuidad de las investigaciones y comprometen el cumplimiento del plazo razonable. Asimismo, se identificó que los dictámenes periciales con vacíos técnicos, conclusiones ambiguas o insuficiente sustento científico dificultan la adecuada valoración de los elementos de convicción y debilitan la teoría del caso fiscal. Del mismo modo, se observó que la demora en la designación de peritos especializados repercute en la realización tardía de las pericias y en la emisión de los informes técnicos correspondientes. En consecuencia, se concluye que la calidad de los informes periciales constituye elementos relevantes para garantizar la eficacia, celeridad y adecuado desarrollo de la investigación preparatoria en los procesos por corrupción de funcionarios."
El rol del Defensor del Pueblo en el sistema de integridad y lucha contra la corrupción: A propósito del anteproyecto de ley orgánica de integridad pública1,David García García,2026,Dialnet (Universidad de la Rioja),Has abstract,"This article analyzes the role of the Ombudsman in the public integrity system. Despite lacking an express anti-corruption mandate, it is argued that the institution is a relevant actor, not only through the promotion of the right to good administration and the supervision of systemic dysfunctions, but also through its work in the defense of rights."
El Impacto del Compliance en la Prevención de Actos de Corrupción en el Sector Privado: Análisis de la Responsabilidad Penal de Personas Jurídicas en Ecuador,Steeven Bladimir Bonilla Quishpe|Danny Xavier Sánchez O,2026,Dialnet (Universidad de la Rioja),Has abstract,"A compliance program is a series of activities, policies, and processes implemented within an organization to efficiently comply with applicable laws, rules, and regulations, thereby preventing corruption in the private sector and protecting the reputation of these entities. Under this concept, as adopted by the Ecuadorian State, Articles 49 and 50 of the 2014 Comprehensive Organic Criminal Code prescribe the criminal liability of legal entities, establishing a series of sanctions such as fines, asset confiscation, closure of premises, and dissolution, among others, depending on the severity of the offense. Therefore, the overall objective was to identify the impact of implementing compliance programs on preventing corruption within the Ecuadorian private sector, evaluating their influence on the criminal liability of legal entities according to the current legal framework in Ecuador. The methodology employed a qualitative approach, allowing for the collection of relevant documentary information through the analysis of legal doctrine, jurisprudence, and legislative developments. In conclusion, compliance has a significant impact on preventing corruption in the private sector, due to the criminal liability of legal entities as established in Ecuadorian criminal law and its subsequent reforms."
Elementos de análisis y reflexión sobre el fenómeno de la corrupción asociada al crimen organizado transnacional. Especial atención a América Latina y Colombia. Tomo IV: Elementos de derecho internacional y relaciones internacionales,Pablo Galain Palermo|Luisa Fernanda Villarraga Zschommler|S. Linares Botero|Andrés Sánchez Sarmiento|Pietro Insolera|Piergiuseppe Parisi|Emanuela Fronza|Federico Freydell Mesa|María Paula López Velásquez|Tomás Manguel|Jeremias Brusau|Manuel Ventura|Paola Reyes Parra|Beatriz G. Gasparian|Antonia Pereira de Sousa|Oswaldo Zavala Giler|Maria Dolores Collazos Velasco|Andrés Sánchez Sarmiento|Antonio Varón Mejía|Clara Esperanza Hernández Cortés|Jorge Astudillo Muñoz|Pietro Sferrazza Taibi|Cheriee Olivier|Laura Mahecha Álvarez|Siro de Martini|Julián Prieto|Julián Solorzano Sánchez|María Alejandra Gálvez Piraquive|Lilia Rosa Castro Sierra|Wendy Pena González|Ana Isabel Pérez Cepeda|Joana Loyo Cabezudo|Jorge Rodríguez Rodríguez|Paolo Caroli|Alice Giannini|Tatiana Bachvarova|Merixtell Regué|Mirka Fries|María José Rodríguez Puerta|Claudia Cristina Jiménez Cortés,2026,Repositorio Institucional E-DocUR (Universidad Del Rosario),Has abstract,"Este tomo analiza el abordaje jurídico internacional de la corrupción asociada al crimen organizado transnacional (COT). Explora el contraste entre la normativa internacional anticorrupción y la Convención de Palermo, examinando regímenes del derecho internacional penal, derechos humanos y arbitraje de inversión. Incluye propuestas para una estrategia global anticorrupción y el fortalecimiento de la cooperación internacional."
Análisis de riesgo de captura del Estado y corrupción sistémica en las entidades federativas con mayores recursos públicos de México para el ejercicio fiscal 2023.,Óscar Flores Viveros,2026,Dialnet (Universidad de la Rioja),Has abstract,"In recent years, regarding the oversight of our country, significant amounts of resources have been transferred to state governments. This is intended to strengthen institutional capacities and improve the provision of government services.However, this article argues that state governments with larger budgets and financial resources are more prone to state capture and the consolidation of systemic corruption networks.The research correlates corruption indicators such as perception and prevalence, both obtained from the National Survey of Government Quality and Impact (ENCIG, 2023), as well as data from local legislatures on the budgets approved for the same fiscal year (2023). This work supports the following hypothesis: states that manage greater economic resources are more susceptible to being co-opted and captured by a system of corruption networks."
"Cómo usar SQLite en aplicaciones empresariales con C# — Modo WAL, control de exclusión, prevención de corrupción y cuándo usar EF Core (archived 2026-08-30)",Go Komura,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"Reunimos el conocimiento práctico para integrar SQLite en aplicaciones empresariales con Microsoft.Data.Sqlite: modo WAL, SQLITE_BUSY, mapeo de tipos, copias con VACUUM INTO y cuándo usar EF Core. Archived version of https://comcomponent.com/es/blog/csharp-sqlite-practical-guide/, as published on 2026-08-30. The live article is maintained and may change after this date. First published 2026-07-02."
"Cómo usar SQLite en aplicaciones empresariales con C# — Modo WAL, control de exclusión, prevención de corrupción y cuándo usar EF Core (archived 2026-08-30)",Go Komura,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"Reunimos el conocimiento práctico para integrar SQLite en aplicaciones empresariales con Microsoft.Data.Sqlite: modo WAL, SQLITE_BUSY, mapeo de tipos, copias con VACUUM INTO y cuándo usar EF Core. Archived version of https://comcomponent.com/es/blog/csharp-sqlite-practical-guide/, as published on 2026-08-30. The live article is maintained and may change after this date. First published 2026-07-02."
La condición de alto cargo en la nueva Directiva europea sobre la lucha contra la corrupción: Reflexiones sobre su transposición al ordenamiento jurídico-penal español,Adrián Pazos Sierra,2026,Dialnet (Universidad de la Rioja),Has abstract,"High-level officials play a key role in the international anti-corruption strategy. The new European directive on combating corruption will introduce this legal concept into the punitive systems of Member States. It will also include new criminal law instruments to toughen sanctions for high-level officials. Particularly, the European proposal disposes a series of circumstances to be considered as aggravating circumstance in corruption crimes by national legislation, including the status of high-level officials. This paper will therefore analyse how the concept of high-level officials can be integrated into our domestic law along with the challenges that Spanish legislators must overcome when incorporating not only this concept, but also the aggravating circumstance into our criminal law."
Los fines legitimadores de la pena y la suspensión de la ejecución provisional de la pena en los delitos de corrupción de funcionarios en el distrito judicial de Ucayali 2014-2016,Israel Christian Gómez Ordoñez,2026,Repositorio Institucional Universidad de Huanuco,Has abstract,"La presente investigación denominada, LOS FINES LEGITIMADORES DE LA PENA Y LA SUSPENSIÓN DE LA EJECUCIÓN PROVISIONAL DE LA PENA EN LOS DELITOS DE CORRUPCIÓN DE FUNCIONARIOS EN EL DISTRITO JUDICIAL DE UCAYALI 2014-2016, se desarrolló en etapas. La investigación comenzó con una descripción detallada del problema que permitió identificar el objetivo central de investigación, el cual fue, determinar en qué medida los fines legitimadores de la pena se relacionan con la suspensión de la ejecución provisional de la pena en los delitos de corrupción de funcionarios conforme la denominación del presente trabajo. La segunda que abarcó el marco metodológico, donde se definieron cuidadosamente el tipo de investigación, el enfoque y el diseño, siendo aplicada, cuantitativo y descriptivo correlacional respectivamente. Se incluyó la delimitación de la población y muestra para la aplicación de encuestas, así como la selección de técnicas e instrumentos. Se establecieron claramente los métodos para procesar y analizar los datos, asegurando una interpretación precisa de los resultados. La tercera etapa implicó un análisis detallado de los resultados de cada variable definida, con el objetivo de proporcionar una narrativa y descripción completa de la realidad observada. La cuarta etapa, concluyó con la presentación de conclusiones fundamentadas, mencionando a groso modo que fines legitimadores de la pena se relacionan en una medida de correlación positiva considerable con la suspensión de la ejecución provisional de la pena."
"Corrupción burocrática, igualdad de género y estratificación de género: datos empíricos sobre los procesos de formulación de políticas relativas a la financiación de la atención de la salud en las administraciones subnacionales de Kenya",United Nations Office on Drugs and Crime,2026,Foro sobre el delito y la sociedad,Has abstract,
Elementos de análisis y reflexión sobre el fenómeno de la corrupción asociada al crimen organizado transnacional. Especial atención a América Latina y Colombia. Tomo III: Elementos de derecho penal y procesal penal y cooperación internacional en materia penal,Norberto Hernández Jiménez|María Soledad Gil Nobajas|Luisa Fernanda Villarraga Zschommler|María Paula López Velásquez|Sofía Linares Botero|Enrico Amati|Luca Baron|Víctor Prado Saldarriaga|Juan Carlos Collantes Camacho|Jessie Trevejo Núñez|Luis Yshii Meza|Juan Sebastián Figueroa Ochoa|Fernando Tamayo Arboleda|Libardo Ariza|Ligia Vargas Mendoza|Laura Zúñiga Rodríguez|Juan Pablo Pantoja Ruiz|Andrés Fernando Ramírez Moncayo|Francisco Valdez Silva|Manuel Cancio Meliá|Julio Ballesteros Sánchez|Andrea Santos Prada|Virginia Naval Linares,2026,Repositorio Institucional E-DocUR (Universidad Del Rosario),Has abstract,"Este tomo analiza los elementos de derecho penal y procesal penal aplicables a personas físicas y jurídicas en la lucha contra la corrupción asociada al crimen organizado transnacional, con especial énfasis en la realidad de Colombia y el contexto latinoamericano."
La Lemniscata Alterna: Sobre la Geometría del Desplazamiento,Oscar Gaitan,2026,|PhilPapers (PhilPapers Foundation)|PhilPapers (PhilPapers Foundation)|Zenodo (CERN European Organization for Nuclear Research)|Zenodo (CERN European Organization for Nuclear Research),Has abstract,"El yo no cae en el caos — cae en una mentira mejor organizada. Este ensayo sostiene que el pecado, la adicción y el colapso moral no desintegran la estructura del yo sino que reubican su centro. Dentro de la Topología Gaitan, cuando el yo abandona el punto de cruce — el locus de la presencia divina, el eterno YO SOY — construye una lemniscata alterna alrededor de un centro falso. Se examinan seis modos: el aplazamiento (Lope de Vega, Dante, Barrie), el deseo como aproximación asintótica (pseudoinversa de Moore-Penrose), la soberbia como autoaxialización (non serviam), la fusión como autodisolución (la Eloísa de Papini) convirtiendo el ser en un satelite, el error epistémico como ilusión colectivamente reforzada (El Traje Nuevo del Emperardor de Andersen), y el trauma como daño estructural en la curva misma (CIC, nn. 2280–2283). Cada centro falso porta la semilla de su propia ruptura. A escala colectiva, las lemniscatas alternas superpuestas producen lo que el ensayo denomina Legión de Legiones — la institucionalización del desplazamiento en la inmoralidad social, la corrupción gubernamental y la captura corporativa. Frente a cada modo, la autorrevelación divina YO SOY EL QUE SOY se erige como el único centro estable: presencia pura sin referencia, el punto de cruce que no se mueve mientras todo lo demás sí lo hace."
"Migración forzada de líderes sociales en Colombia después de la firma de los acuerdos de paz: el impacto de la corrupción estatal, los grupos armados y las amenazas a los derechos humanos en perspectiva comparada con el Estado Español",Mariana Paola Reyes María,2026,Repositorio Institucional E-DocUR (Universidad Del Rosario),Has abstract,"El presente trabajo analiza la migración forzada de líderes sociales y defensores de derechos humanos en Colombia en el período comprendido entre 2016 y 2024, posterior a la firma del Acuerdo de Paz. La investigación se plantea la siguiente pregunta: ¿en qué medida la corrupción, el crimen organizado y la persistencia de la violencia armada inciden en la migración forzada de líderes sociales y evidencian la insuficiencia de los mecanismos de protección estatal? Para responder a esta cuestión, se adopta una metodología cualitativa de carácter jurídico y analítico, basada en la revisión de fuentes normativas, informes de organismos nacionales e internacionales, así como literatura académica relevante. El trabajo se estructura en varios apartados. En primer lugar, se presenta un marco teórico sobre migración forzada y factores estructurales que la explican. En segundo lugar, se analiza el contexto colombiano, identificando los principales riesgos, patrones de violencia, amenazas y dinámicas de desplazamiento que afectan a líderes sociales y defensores de derechos humanos. En tercer lugar, se examina el marco normativo e institucional de protección, evidenciando sus limitaciones en la práctica. Posteriormente, se desarrolla un análisis comparado con España, con el fin de identificar diferencias en los mecanismos de protección y en la respuesta estatal frente a la defensa de los derechos humanos. Finalmente, se estudian las dinámicas de migración internacional, incluyendo las rutas y destinos elegidos, así como los desafíos actuales del Estado colombiano. El estudio concluye que la migración forzada de líderes sociales no constituye un fenómeno aislado, sino el resultado de factores estructurales que debilitan la capacidad del Estado para garantizar seguridad y derechos fundamentales, evidenciando la necesidad de adoptar respuestas integrales que trasciendan los mecanismos de protección individual."
"Elementos de análisis y reflexión sobre el fenómeno de la corrupción asociada al crimen organizado transnacional: especial atención a América Latina y Colombia. Tomo II: Elementos de derecho financiero, tributario y privado y relativos a la regulación de los mercados ilícitos y a la cooperación internacional en materias civil y fiscal",Mario Andrade Perilla|Ligia Catherine Arias Barrera|José Manuel Castro Arango|Mario De Castro|Cesar Ferrari|Germán Carlos Garavano|Daniel Alejandro Garavito Góez|Richard E. Messick|María Pilar Navarro-Schiappacasse|Héctor Olasolo|Erick Richard Rincón Cárdenas|Juan José Romero Morales|Daniel Serrano Acero|David Fernando Varela|Gabriela Velásquez Medina|Liliana Yumi,2026,Repositorio Institucional E-DocUR (Universidad Del Rosario),Has abstract,"Este tomo aborda el fenómeno de la corrupción desde las perspectivas del derecho financiero, tributario y privado. Analiza la regulación basada en el riesgo, el intercambio de información tributaria, la cooperación internacional para la recuperación de activos y las estrategias de intervención estatal en mercados ilícitos, con estudios de caso específicos de Argentina, Brasil, Chile, Colombia y Perú."
